monster_name,monster_type,monster_subtype,monster_species,monster_amount,setting_terrain,setting_country_state,date_aired,danger
Hooded Ghosts,Ghost,Phantom,Human,1,Island,United States,1973-09-08,0
Hooded Ghosts,Ghost,Phantom,Human,1,Island,United States,1973-09-08,0
Hooded Ghosts,Ghost,Phantom,Human,1,Island,United States,1973-09-08,0
Ghost of Injun Joe,Ghost,Phantom,Human,1,Coast,Missouri,1973-09-15,5
Ghost of Captain Scavenger,Ghost,Phantom,Human,1,Coast,Missouri,1973-09-15,5
Jadal,Mythical,Phantom,Genie,1,Desert,Iran,1973-09-22,3
Spirit of Fireball McPhan,Ghost,Phantom,Human,1,Urban,United States,1973-09-29,5
Cat Creature,Animal,Humanoid,Human,1,Forest,California,1973-10-06,0
Frankenstein,Undead,Frankenstein's Monster,Human,1,Forest,California,1973-10-06,0
Creepy Man,Disguised,Creepy,Human,1,Forest,California,1973-10-06,0
Ghost Bird,Animal,Headless,Bird,1,Forest,California,1973-10-06,0
Unknown Exterminator,Disguise,Exterminator,Human,1,Forest,California,1973-10-06,0
Ghostly Man,Ghost,Phantom,Human,1,Forest,California,1973-10-06,0
Invisible Couple,Ghost,Phantom,Human,1,Forest,California,1973-10-06,0
Sea Monster,Animal,Sea-Monster,Fish,1,Forest,California,1973-10-06,0
Windmakers,Disguised,Hooded,Human,1,Rural,Mississippi,1973-10-13,5
Windmakers,Disguised,Hooded,Human,1,Rural,Mississippi,1973-10-13,5
Windmakers,Disguised,Hooded,Human,1,Rural,Mississippi,1973-10-13,5
Windmakers,Disguised,Hooded,Human,1,Rural,Mississippi,1973-10-13,5
Green Globs,Possessed Object,Humanoid,Human,1,Urban,United States,1973-10-20,0
Green Globs,Possessed Object,Humanoid,Human,1,Urban,United States,1973-10-20,0
Ghostly Strongman,Ghost,Phantom,Human,1,Rural,United States,1973-10-27,0
Specter of Ebenezer Crabbe,Ghost,Phantom,Human,1,Urban,United States,1976-09-11,0
Ghost of Netty Crabbe,Ghost,Phantom,Human,1,Urban,United States,1976-09-11,0
"Mr. Hyde,Snitch","Disguised,Animal","Split-Personality,Split-Personality","Human,Hound",1,Urban,United States,1976-09-11,0
Ghost of King Katazuma,Ghost,Phantom,Human,1,Rural,Mexico,1976-09-18,5
Aztec Statue Monster,Possessed Object,Statue,Human,1,Rural,Mexico,1976-09-18,5
Lowbrow,Super-Villain,Idiot,Human,1,Urban,United States,1976-09-18,5
Lowbrow's Henchmen,Super-Villain,Henchman,Human,1,Urban,United States,1976-09-18,5
Lowbrow's Henchmen,Super-Villain,Henchman,Human,1,Urban,United States,1976-09-18,5
Ghost of Gator Ghoul,Ghost,Amphibian,Alligator,1,Swamp,Georgia,1976-09-25,0
10000 Volt Ghost,Ghost,Electric,Human,1,Snow,United States,1976-10-02,0
Headless Horseman,Ghost,Headless,Human,1,Rural,United States,1976-10-09,0
Ghost of Merlin,Ghost,Witch,Human,1,Forest,United States,1976-10-16,2
Black Knight,Possessed Object,Suit,Human,1,Forest,United States,1976-10-16,2
Ghost of Dr. Coffin,Ghost,Phantom,Human,1,Forest,Canada,1976-10-23,0
No-Face Zombie,Undead,Zombie,Human,1,Urban,United States,1976-10-30,0
Gorilla,Animal,Beast,Gorilla,1,Urban,United States,1976-10-30,0
Mamba Wamba,Ghost,Witch Doctor,Human,1,Swamp,United States,1976-11-06,0
Zombie Lila,Undead,Zombie,Human,1,Swamp,United States,1976-11-06,0
Mamba Zombie,Undead,Zombie,Human,1,Swamp,United States,1976-11-06,0
Demon,Mythical,Demon,Demon,1,Urban,Washington,1976-11-13,1
Swamp Rat,Animal,Humanoid,Rat,1,Swamp,United States,1976-11-13,5
Tamuka the Ghost Bull,Ghost,Beast,Bull,1,Rural,Texas,1976-11-20,0
Medicine Man Ghost,Ghost,Witch Doctor,Human,1,Rural,Texas,1976-11-20,0
Talking Bull,Animal,Beast,Bull,1,Rural,Texas,1976-11-20,0
Demon Shark,Mythical,Demon,Shark,1,Urban,United States,1976-11-25,0
Ghost of Captain Pescado,Ghost,Pirate,Human,1,Ocean,United States,1976-11-27,5
Kelp Monster,Plant,Humanoid,Kelp,1,Ocean,United States,1976-11-27,5
Octopus Monster,Animal,Octopus,Octopus,1,Ocean,United States,1976-11-27,5
Rambling Ghost,Ghost,Athlete,Human,1,Urban,United States,1976-12-04,3
Strawberry Technicolor Phantom,Ghost,Phantom,Human,1,Urban,United States,1976-12-11,0
Chocolate Technicolor Phantom,Ghost,Phantom,Human,1,Urban,United States,1976-12-11,0
Vanilla Technicolor Phantom,Ghost,Phantom,Human,1,Urban,United States,1976-12-11,0
