monster_name,monster_type,monster_subtype,monster_species,monster_amount,setting_terrain,setting_country_state,date_aired,danger
Griswald,Animal,Giant,Spider,1,Rural,United States,1985-09-21,
Bogle,Ghost,Phantom,Cartoon,1,Desert,Morocco,1985-09-28,
Weerd,Ghost,Phantom,Cartoon,1,Desert,Morocco,1985-09-28,
Reflector Specter,Mythical,Mirror,Demon,1,Desert,Morocco,1985-09-28,
Zomba,Mythical,Demon,Demon,1,Urban,United States,1985-10-05,
Dr. Frankscoob's Monster,Undead,Frankenstein's Monster,Human,1,Urban,United States,1985-10-05,
Bogel,Ghost,Phantom,Cartoon,1,Ocean,Bermuda Triangle,1985-10-12,
Weerd,Ghost,Phantom,Cartoon,1,Ocean,Bermuda Triangle,1985-10-12,
Captain Ghost,Ghost,Phantom,Human,1,Ocean,Bermuda Triangle,1985-10-12,
Ghosts on the Ship,Ghost,Phantom,Human,1,Ocean,Bermuda Triangle,1985-10-12,
Bogel,Ghost,Phantom,Cartoon,1,Urban,Louisiana,1985-10-19,
Weerd,Ghost,Phantom,Cartoon,1,Urban,Louisiana,1985-10-19,
Nekara,Magician,Witch,Human,1,Urban,Louisiana,1985-10-19,
Marcella,Magician,Witch,Human,1,Forest,United States,1985-10-26,
Helda Brewski,Magician,Witch,Human,1,Forest,United States,1985-10-26,
Ernestine Brewski,Magician,Witch,Human,1,Forest,United States,1985-10-26,
Wanda Brewski,Magician,Witch,Human,1,Forest,United States,1985-10-26,
Time Slime,Magician,Wizard,Human,1,Urban,United States,1985-11-02,
Bogel,Ghost,Phantom,Human,1,Urban,United States,1985-11-02,
Weerd,Ghost,Phantom,Human,1,Urban,United States,1985-11-02,
Demondo,Mythical,Demon,Demon,1,Urban,United States,1985-11-09,
Bogel,Ghost,Phantom,Cartoon,1,Urban,United States,1985-11-09,
Weerd,Ghost,Phantom,Cartoon,1,Urban,United States,1985-11-09,
Rankor,Undead,Vampire,Goblin,1,Rural,United States,1985-11-16,
Bogel,Ghost,Phantom,Cartoon,1,Rural,United States,1985-11-16,
Weerd,Ghost,Phantom,Cartoon,1,Rural,United States,1985-11-16,
Head of S.A.P.S.,Ghost,Demon,Demon,1,Rural,United States,1985-11-16,
Living Plants,Plant,Flower,Flower,1,Rural,United States,1985-11-16,
Porff. Phantazmo,Magician,Warlock,Human,1,Rural,United States,1985-11-23,
Bogel,Ghost,Phantom,Cartoon,1,Rural,United States,1985-11-23,
Weerd,Ghost,Phantom,Cartoon,1,Rural,United States,1985-11-23,
Zimbulu,Mythical,Demon,Demon,1,Urban,United States,1985-12-07,
Bogel,Ghost,Phantom,Cartoon,1,Urban,United States,1985-12-07,
Weerd,Ghost,Phantom,Cartoon,1,Urban,United States,1985-12-07,
Boris Kreepoff,Undead,Zombie,Human,1,Urban,United States,1985-12-07,
Zombies,Undead,Zombie,Human,1,Urban,United States,1985-12-07,
Zombies,Undead,Zombie,Human,1,Urban,United States,1985-12-07,
Zombies,Undead,Zombie,Human,1,Urban,United States,1985-12-07,
Headless Horseman,Undead,Undead,Human,1,Swamp,United States,1987-10-18,
Beauregard's Ghost,Ghost,Soldier,Human,1,Swamp,United States,1987-10-18,
Skull Ghost,Undead,Skeleton,Human,1,Swamp,United States,1987-10-18,
Floating Skeleton,Undead,Skeleton,Human,1,Swamp,United States,1987-10-18,
Ghost,Ghost,Phantom,Human,1,Urban,United States,1988-09-10,0
Sludge Monster from the Earth's Croe,Possessed Object,Sludge,Sludge-Monster,1,Urban,United States,1988-09-17,0
Dr. Croaker,Animal,Humanoid,Frog,1,Urban,United States,1988-09-24,0
Cheese Monster,Possessed Object,Humanoid,Cheese,1,Urban,United States,1988-10-01,4
Ghost of Al Cabone,Ghost,Phantom,Human,1,Urban,United States,1988-10-08,0
Boogedy Bones,Undead,Zombie,Human,1,Urban,United States,1988-10-15,0
Revolta,Magician,Witch,Human,1,Swamp,United States,1988-10-16,
Grim Creeper,Plant,Humanoid,Potato,1,Swamp,United States,1988-10-16,
Mirror Monster,Magician,Mirror Monster,Human,1,Swamp,United States,1988-10-16,
Well-Dweller,Animal,Humanoid,Sea-Monster,1,Swamp,United States,1988-10-16,
Ice Demon,Possessed Object,Humanoid,Ice,1,Mountain,United States,1988-10-22,5
Samurai Ghost,Ghost,Samurai,Human,1,Urban,United States,1988-10-29,0
Headless Skateboarder,Undead,Headless,Human,1,Coast,United States,1988-11-05,0
Boobeard,Ghost,Pirate,Human,1,Urban,United States,1988-11-12,0
Totem Spirit,Possessed Object,Statue,Totem,1,Forest,United States,1988-11-19,3
Ghost of Chef Pierre Goulash,Ghost,Chef,Human,1,Urban,United States,1988-11-26,0
Stinkweed,Plant,Humanoid,Plant-Monster,1,Urban,United States,1988-12-03,0
Ghost of Buster McMutt Mauler,Ghost,Phantom,Human,1,Urban,United States,1989-09-09,0
Alien,Extraterrestrial,Alien,Alien,1,Urban,United States,1989-09-16,0
Ghost of Purvis Parker,Undead,Skeleton,Human,1,Urban,United States,1989-09-23,0
Chickenstein,Undead,Frankenstein's Monster,Chicken,1,Urban,United States,1989-09-30,0
Burger Monster,Possessed Object,Burger,Burger,1,Urban,United States,1989-10-07,0
Dinkley 2000,Mechanical,Humanoid,Computer,1,Urban,United States,1989-10-14,4
Ghost of Zombo,Ghost,Clown,Human,1,Urban,United States,1989-10-28,0
Boogey Biker,Undead,Skeleton,Human,1,Urban,United States,1990-09-08,0
Astronaut Ghost,Ghost,Astronaut,Human,1,Urban,United States,1990-09-08,0
Bigwig,Possessed Object,Humanoid,Hair,1,Urban,United States,1990-10-06,0
Ghost of the Hooded Heifer,Ghost,Wrestler,Human,1,Urban,United States,1990-11-03,0
Nasty-Doo,Animal,Hound,Hound,1,Urban,United States,1991-08-03,0
Ghost of Mrs. Shusham,Ghost,Librarian,Human,1,Urban,United States,1991-08-10,0
Moving Mollusk,Animal,Giant,Snail,1,Urban,New York,1991-08-17,0
Ghostly Gardener,Undead,Ghost,Human,1,Rural,United States,1997-07-25,0
Ghost of Morgan Moonscar,Ghost,Pirate,Human,1,Swamp,Louisiana,1998-09-22,3
Pirate Zombies,Undead,Zombie,Human,1,Swamp,Louisiana,1998-09-22,3
Confederate Zombies,Undead,Zombie,Human,1,Swamp,Louisiana,1998-09-22,3
Tourist Zombies,Undead,Zombie,Human,1,Swamp,Louisiana,1998-09-22,3
Simone Lenoir,Animal,Werecat,Human,1,Swamp,Louisiana,1998-09-22,3
Lena Dupree,Animal,Werecat,Human,1,Swamp,Louisiana,1998-09-22,3
Jacques,Animal,Werecat,Human,1,Swamp,Louisiana,1998-09-22,3
Ben Ravencroft,Magician,Warlock,Human,1,Rural,Massachusetts,1999-10-05,3
Sarah Ravencroft,Ghost,Witch,Human,1,Rural,Massachusetts,1999-10-05,3
Evil Trees,Plant,Evil,Tree,1,Rural,Massachusetts,1999-10-05,3
Pumpkin Monsters,Plant,Humanoid,Pumpkin,1,Rural,Massachusetts,1999-10-05,3
Enormous Turkey,Animal,Giant,Turkey,1,Rural,Massachusetts,1999-10-05,3
Casper County Monster,Animal,Humanoid,Forest-Monster,1,Forest,United States,1999-10-31,0
Casper County Monster,Animal,Humanoid,Forest-Monster,1,Forest,United States,1999-10-31,0
Aliens,Extraterrestrial,Alien,Alien,1,Desert,New Mexico,2000-10-03,5
Aliens,Extraterrestrial,Alien,Alien,1,Desert,New Mexico,2000-10-03,5
Aliens,Extraterrestrial,Alien,Alien,1,Desert,New Mexico,2000-10-03,5
Phantom Virus,Possessed Object,Humanoid,Electric,1,Urban,United States,2001-10-09,5
Zombie,Undead,Zombie,Human,1,Rural,United States,2001-10-31,0
Mummy,Undead,Mummy,Human,1,Rural,United States,2001-10-31,0
Zombie Gary Coleman,Undead,Zombie,Human,1,Rural,United States,2001-10-31,0
Demons,Mythical,Demon,Demon,1,Island,United States,2002-06-14,4
Demons,Mythical,Demon,Demon,1,Island,United States,2002-06-14,4
Demons,Mythical,Demon,Demon,1,Island,United States,2002-06-14,4
Demons,Mythical,Demon,Demon,1,Island,United States,2002-06-14,4
Possessed College Kids,Possessed Object,Possessed,Human,1,Island,United States,2002-06-14,4
Possessed Fred,Possessed Object,Possessed,Human,1,Island,United States,2002-06-14,4
Possessed Marry Jane,Possessed Object,Possessed,Human,1,Island,United States,2002-06-14,4
Possessed Daphine,Possessed Object,Possessed,Human,1,Island,United States,2002-06-14,4
Possessed Velma,Possessed Object,Possessed,Human,1,Island,United States,2002-06-14,4
Scrappy-Rex,Animal,Giant,Hound,1,Island,United States,2002-06-14,4
Green Monster,Plant,Humanoid,Weed,1,Urban,United States,2002-07-07,2
Snow Creature,Animal,Humanoid,Ice-Monster,1,Snow,United States,2002-09-14,0
Dinosaur Spirit,Animal,Spirit,Dinosaur,1,Jungle,Costa Rica,2002-09-21,0
The Alien,Extraterrestrial,Alien,Alien,1,Urban,United States,2002-09-28,0
Ghost of the Leland Brothers,Ghost,Soldier,Human,1,Urban,Louisiana,2002-10-05,1
Ghost of the Leland Brothers,Ghost,Soldier,Human,1,Urban,Louisiana,2002-10-05,1
The Mystery Machine,Possessed Object,Car,Vehicle,1,Urban,United States,2002-10-26,1
Ghost of Rufus Raucaus,Ghost,Phantom,Human,1,Urban,Nevada,2002-11-02,0
Roller Ghoster,Animal,Humanoid,Beast,1,Urban,United States,2002-11-09,0
Jungle Demons,Animal,Demon,Animal,1,Jungle,Malawi,2002-11-23,0
Motoshondu,Animal,Serpent,Sea-Monster,1,Island,United States,2002-11-30,0
Headless Snowman,Possessed Object,Headless,Snow-Man,1,Snow,United States,2002-12-13,0
Spaceman Swintons,Mechanical,Humanoid,Toy,1,Urban,United States,2003-02-01,0
Annabel Action Figure,Mechanical,Humanoid,Toy,1,Urban,United States,2003-02-01,0
Other Toys,Mechanical,Toy,Toy,1,Urban,United States,2003-02-01,0
Faceless Phantom,Ghost,Phantom,Human,1,Urban,California,2003-02-15,0
Undead,Ancient,Gladiator,Human,1,Rural,Italy,2003-02-22,0
Yowie Yahoo,Undead,Vampire,Human,1,Desert,Australia,2003-03-04,0
Dark Skull,Undead,Vampire,Human,1,Desert,Australia,2003-03-04,0
Stormy Weathers,Undead,Vampire,Human,1,Desert,Australia,2003-03-04,0
Lightning Strikes,Undead,Vampire,Human,1,Desert,Australia,2003-03-04,0
Baseball Specter,Ghost,Specter,Human,1,Urban,United States,2003-03-22,2
Ancient One,Magician,Mystic,Human,1,Urban,Japan,2003-09-13,1
30 Foot Shaggy,Animal,Giant,Human,1,Urban,Japan,2003-09-13,1
Mummy of Pharaoh Scamses,Undead,Mummy,Human,1,Desert,Egypt,2003-09-20,3
Zombies,Undead,Zombie,Human,1,Desert,Egypt,2003-09-20,3
Zombies,Undead,Zombie,Human,1,Desert,Egypt,2003-09-20,3
Zombies,Undead,Zombie,Human,1,Desert,Egypt,2003-09-20,3
Zombies,Undead,Zombie,Human,1,Desert,Egypt,2003-09-20,3
Zombie Fred,Undead,Zombie,Human,1,Desert,Egypt,2003-09-20,3
Zombie Daphnie,Undead,Zombie,Human,1,Desert,Egypt,2003-09-20,3
Zombie Velma,Undead,Zombie,Human,1,Desert,Egypt,2003-09-20,3
Gusano Grande,Animal,Giant,Worm,1,Desert,Mexico,2003-09-27,5
Chupacabra,Animal,Humanoid,Chupacabra,1,Rural,Mexico,2003-09-30,1
Paco,Animal,Bird,Parrot,1,Rural,Mexico,2003-09-30,1
Quetzalcoatl,Mythical,Dragon,Dragon,1,Rural,Mexico,2003-09-30,1
Jaguar Statues,Possessed Object,Statue,Jaguar,1,Rural,Mexico,2003-09-30,1
Aztec Giant Statue,Possessed Object,Statue,Human,1,Rural,Mexico,2003-09-30,1
Ghost of Señor Otero,Ghost,Phantom,Human,1,Rural,Mexico,2003-09-30,1
Skeleton Man,Undead,Skeleton,Human,1,Rural,Mexico,2003-09-30,1
Jeevens,Mechanical,Robot,Robot,1,Rural,United States,2003-10-04,1
Shari,Mechanical,Computer,Computer,1,Rural,United States,2003-10-04,1
Baron Fortescu,Undead,Vampire,Human,1,Rural,Romania,2003-10-18,1
Scarecrows,Possessed Object,Scarecrow,Human,1,Rural,United States,2003-10-25,0
Ghost of Hank Banning,Ghost,Phantom,Human,1,Rural,United States,2003-10-25,0
Cat Creature,Animal,Humanoid,Cat,1,Urban,United States,2003-10-25,1
San Franpsycho,Ancient,Convict,Human,1,Urban,California,2004-03-20,0
Invisible Man,Disguised,Invisible,Human,1,Snow,Canada,2004-03-22,0
Scooby Snack Monster,Possessed Object,Humanoid,Scooby Snack,1,Urban,Ohio,2004-03-23,0
Scooby Snack Monster,Possessed Object,Humanoid,Scooby Snack,1,Urban,Ohio,2004-03-23,0
Glasburgh Dragon,Mythical,Dragon,Dragon,1,Rural,Scotland,2004-03-24,1
Fish Creature,Animal,Humanoid,Fish,1,Snow,Antarctica,2004-03-25,1
Wakumi,Animal,Giant,Bird,1,Desert,New Mexico,2004-03-26,1
Shaman,Ancient,Shaman,Human,1,Desert,New Mexico,2004-03-26,1
Masked Figure,Disguised,Scientist,Human,1,Urban,United States,2004-03-26,5
Pterodactyl Ghost,Animal,Dinosaur,Pterodactyl,1,Urban,United States,2004-03-26,5
Black Knight Ghost,Possessed Object,Suit,Human,1,Urban,United States,2004-03-26,5
Cotton Candy Glob,Possessed Object,Candy,Cotton Candy,1,Urban,United States,2004-03-26,5
Tar Monster,Possessed Object,Tar,Tar,1,Urban,United States,2004-03-26,5
Minder 49er,Ancient,Miner,Human,1,Urban,United States,2004-03-26,5
Captain Cutler's Ghost,Possessed Object,Suit,Human,1,Urban,United States,2004-03-26,5
Zombie,Undead,Zombie,Human,1,Urban,United States,2004-03-26,5
10000 Volt Ghost,Ghost,Electric,Human,1,Urban,United States,2004-03-26,5
Skeleton Men,Undead,Skeleton,Human,1,Urban,United States,2004-03-26,5
Skeleton Men,Undead,Skeleton,Human,1,Urban,United States,2004-03-26,5
Centaur,Mythical,Beast,Centaur,1,Rural,Greece,2004-03-27,0
Loch Ness Monster,Mythical,Loch Ness Monster,Dinosaur,1,Rural,Scotland,2004-06-24,0
Loch Ness Monster,Mythical,Loch Ness Monster,Dinosaur,1,Rural,Scotland,2004-06-24,0
Creepy Keeper,Undead,Lighthouse Keeper,Human,1,Rural,Wisconsin,2005-01-29,1
Skeleton Crew,Undead,Skeleton,Human,1,Rural,Wisconsin,2005-01-29,1
Sheriff,Mechanical,Cowboy,Human,1,Desert,Arizona,2005-02-05,5
Cold Steel,Mechanical,Cowboy,Human,1,Desert,Arizona,2005-02-05,5
Other Robot Cowboys,Mechanical,Cowboy,Human,1,Desert,Arizona,2005-02-05,5
Wiki-Tiki,Ancient,Hawaiian,Human,1,Island,Hawaii,2005-02-08,0
Tiny Tikis,Ancient,Hawaiian,Human,1,Island,Hawaii,2005-02-08,0
Clone Fred,Mechanical,Clone,Human,1,Urban,United States,2005-02-11,5
Clone Daphnie,Mechanical,Clone,Human,1,Urban,United States,2005-02-11,5
Clone Velma,Mechanical,Clone,Human,1,Urban,United States,2005-02-11,5
Clone Shaggy,Mechanical,Clone,Human,1,Urban,United States,2005-02-11,5
Clone Scooby,Mechanical,Clone,Human,1,Urban,United States,2005-02-11,5
Titanic Twist,Undead,Deformed,Human,1,Desert,United States,2005-02-12,1
Gargoyle,Possessed Object,Statue,Gargoyle,1,Urban,France,2005-02-19,1
Demon Farmer,Undead,Farmer,Human,1,Rural,United States,2005-02-25,0
Frozen Fiend,Undead,Ice,Human,1,Urban,Russia,2005-03-03,0
Menacing Metallic Clown,Mechanical,Clown,Human,1,Rural,United States,2005-03-12,0
Toxic Terror,Possessed Object,Humanoid,Toxic,1,Forest,United States,2005-03-19,
Dragon,Mythical,Dragon,Dragon,1,Urban,Hong Kong,2005-03-26,5
Skeleton Driver,Undead,Skeleton,Human,1,Urban,United States,2005-04-02,0
Gold Monster,Possessed Object,Humanoid,Gold,1,Rural,Kentukey,2005-04-09,0
Coral Creature,Plant,Humanoid,Coral,1,Coast,Australia,2005-04-19,2
Sand Monsters,Possessed Object,Sand,Human,1,Coast,Australia,2005-04-19,2
Ghost of Cleopatra,Undead,Mummy,Human,1,Desert,Egypt,2005-11-24,1
Army of the Undead,Undead,Mummy,Human,1,Desert,Egypt,2005-11-24,1
Spirit of the Sand,Animal,Giant,Scorpion,1,Desert,Egypt,2005-11-24,1
Osomons,Animal,Little,Osomons,1,Urban,California,2006-07-21,0
Cptn. Skunk Beard,Undead,Pirate,Human,1,Ocean,Bermuda Triangle,2006-09-19,5
Wooden Wally,Undead,Pirate,Human,1,Ocean,Bermuda Triangle,2006-09-19,5
Sea Salt Sally,Undead,Pirate,Human,1,Ocean,Bermuda Triangle,2006-09-19,5
Cptn. Skunk Beard's Crew,Undead,Pirate,Human,1,Ocean,Bermuda Triangle,2006-09-19,5
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Urban,United States,2006-09-23,2
Agent 1,Disguised,Agent,Human,1,Urban,United States,2006-09-23,2
Agent 2,Disguised,Agent,Human,1,Urban,United States,2006-09-23,2
Agent 3,Disguised,Agent,Human,1,Urban,United States,2006-09-23,2
Agent 4,Disguised,Agent,Human,1,Urban,United States,2006-09-23,2
Agent 5,Disguised,Agent,Human,1,Urban,United States,2006-09-23,2
Agent 6,Disguised,Agent,Human,1,Urban,United States,2006-09-23,2
Agent 7,Disguised,Agent,Human,1,Urban,United States,2006-09-23,2
Agent,Disguised,Agent,Human,1,Urban,United States,2006-09-23,2
8,Disguised,Agent,Human,1,Urban,United States,2006-09-23,2
Agent,Disguised,Agent,Human,1,Urban,United States,2006-09-23,2
9,Disguised,Agent,Human,1,Urban,United States,2006-09-23,2
Agent 10,Disguised,Agent,Human,1,Urban,United States,2006-09-23,2
Agent 11,Disguised,Agent,Human,1,Urban,United States,2006-09-23,2
Agent 12,Dr. Trebal,Doctor,Human,1,Urban,United States,2006-09-23,2
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Snow,Switzerland,2006-09-30,
Agent 3,Disguised,Agent,Human,1,Snow,Switzerland,2006-09-30,
Agent 4,Disguised,Agent,Human,1,Snow,Switzerland,2006-09-30,
Agent 5,Disguised,Agent,Human,1,Snow,Switzerland,2006-09-30,
Agent 6,Disguised,Agent,Human,1,Snow,Switzerland,2006-09-30,
Agent 7,Disguised,Agent,Human,1,Snow,Switzerland,2006-09-30,
Agent,Disguised,Agent,Human,1,Snow,Switzerland,2006-09-30,
9,Disguised,Agent,Human,1,Snow,Switzerland,2006-09-30,
Agent 10,Disguised,Agent,Human,1,Snow,Switzerland,2006-09-30,
Agent 11,Disguised,Agent,Human,1,Snow,Switzerland,2006-09-30,
Agent 12,Disguised,Agent,Human,1,Snow,Switzerland,2006-09-30,
Agent 13,Dr. Trebal,Doctor,Human,1,Snow,Switzerland,2006-09-30,
Dr. Trebal,Super-Villain,Agent,Human,1,Snow,Switzerland,2006-09-30,
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Urban,United States,2006-10-07,
Agent 1,Disguised,Agent,Human,1,Urban,United States,2006-10-07,
Agent 2,Disguised,Agent,Human,1,Urban,United States,2006-10-07,
Agent 3,Disguised,Agent,Human,1,Urban,United States,2006-10-07,
Agent 8,Disguised,Agent,Human,1,Urban,United States,2006-10-07,
Agent 11,Disguised,Agent,Human,1,Urban,United States,2006-10-07,
Dr. Trebla,Super-Villain,Doctor,Human,1,Urban,United States,2006-10-07,
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Urban,United States,2006-11-04,
A.R.T.,Mechanical,Robot,Object,1,Urban,United States,2006-11-04,
Agent 2,Disguised,Agent,Human,1,Urban,United States,2006-11-04,
Dr. Trebla,Super-Villain,Doctor,Human,1,Urban,United States,2006-11-04,
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Urban,United States,2006-11-11,
Dr. Trebla,Super-Villain,Doctor,Human,1,Urban,United States,2006-11-11,
Kevin,Mechanical,Computer,Object,1,Urban,United States,2006-11-11,
Mark,Super-Villain,Nerd,Human,1,Urban,United States,2006-11-11,
Ricky,Super-Villain,Nerd,Human,1,Urban,United States,2006-11-11,
Agent 1,Disguised,Agent,Human,1,Urban,United States,2006-11-11,
Agent 2,Disguised,Agent,Human,1,Urban,United States,2006-11-11,
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Space,Space,2006-11-18,
Agent 1,Disguised,Agent,Human,1,Space,Space,2006-11-18,
Agent 2,Disguised,Agent,Human,1,Space,Space,2006-11-18,
Agent 3,Disguised,Agent,Human,1,Space,Space,2006-11-18,
Agent 4,Disguised,Agent,Human,1,Space,Space,2006-11-18,
Agent 7,Disguised,Agent,Human,1,Space,Space,2006-11-18,
Agent 10,Disguised,Agent,Human,1,Space,Space,2006-11-18,
Agent 11,Disguised,Agent,Human,1,Space,Space,2006-11-18,
Agent 12,Disguised,Agent,Human,1,Space,Space,2006-11-18,
Agent 13,Disguised,Agent,Human,1,Space,Space,2006-11-18,
Dr. Trebla,Super-Villain,Doctor,Human,1,Space,Space,2006-11-18,
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Jungle,South America,2007-02-02,
Bruce,Super-Villain,Poacher,Human,1,Jungle,South America,2007-02-02,
Brucey,Super-Villain,Poacher,Human,1,Jungle,South America,2007-02-02,
Agent 13,Disguised,Agent,Human,1,Jungle,South America,2007-02-02,
Mark,Super-Villain,Nerd,Human,1,Jungle,South America,2007-02-02,
Ricky,Super-Villain,Nerd,Human,1,Jungle,South America,2007-02-02,
Dr. Trebla,Super-Villain,Doctor,Human,1,Jungle,South America,2007-02-02,
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Forest,United States,2007-02-10,
Agent 4,Disguised,Agent,Human,1,Forest,United States,2007-02-10,
Agent 13,Disguised,Agent,Human,1,Forest,United States,2007-02-10,
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Urban,New York,2007-02-17,
Dr. Trebla,Super-Villain,Doctor,Human,1,Urban,New York,2007-02-17,
Chef Suki Sukihari,Super-Villain,Chef,Human,1,Urban,New York,2007-02-17,
Agent 2,Disguised,Agent,Human,1,Urban,New York,2007-02-17,
Agent 5,Disguised,Agent,Human,1,Urban,New York,2007-02-17,
Agent 8,Disguised,Agent,Human,1,Urban,New York,2007-02-17,
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Rural,United States,2007-02-24,0
Dr. Trebla,Super-Villain,Doctor,Human,1,Rural,United States,2007-02-24,0
Agent 1,Disguised,Agent,Human,1,Rural,United States,2007-02-24,0
Agent 2,Disguised,Agent,Human,1,Rural,United States,2007-02-24,0
Mark,Super-Villain,Nerd,Human,1,Rural,United States,2007-02-24,0
Ricky,Super-Villain,Nerd,Human,1,Rural,United States,2007-02-24,0
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Rural,United States,2007-03-03,
Dr. Trebla,Super-Villain,Doctor,Human,1,Rural,United States,2007-03-03,
Dr. Speed,Super-Villain,Doctor,Human,1,Rural,United States,2007-03-03,
Agent 1,Disguised,Agent,Human,1,Rural,United States,2007-03-03,
Agent 2,Disguised,Agent,Human,1,Rural,United States,2007-03-03,
Agent 5,Disguised,Agent,Human,1,Rural,United States,2007-03-03,
Agent 6,Disguised,Agent,Human,1,Rural,United States,2007-03-03,
Agent 8,Disguised,Agent,Human,1,Rural,United States,2007-03-03,
Agent 11,Disguised,Agent,Human,1,Rural,United States,2007-03-03,
Agent 12,Disguised,Agent,Human,1,Rural,United States,2007-03-03,
Agent 13,Disguised,Agent,Human,1,Rural,United States,2007-03-03,
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Desert,United States,2007-04-28,
Dr. Trebla,Super-Villain,Doctor,Human,1,Desert,United States,2007-04-28,
Agent 1,Disguised,Agent,Human,1,Desert,United States,2007-04-28,
Agent 2,Disguised,Agent,Human,1,Desert,United States,2007-04-28,
Mark,Super-Villain,Nerd,Human,1,Desert,United States,2007-04-28,
Ricky,Super-Villain,Nerd,Human,1,Desert,United States,2007-04-28,
Agent,Disguised,Agent,Human,1,Desert,United States,2007-04-28,
4,Disguised,Agent,Human,1,Desert,United States,2007-04-28,
Agent 7,Disguised,Agent,Human,1,Desert,United States,2007-04-28,
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Urban,United States,2007-05-05,
Menace,Super-Villain,Wrestler,Human,1,Urban,United States,2007-05-05,
Mr. Invisible,Super-Villain,Invisible,Human,1,Urban,United States,2007-05-05,
Cat Lady,Super-Villain,Super-Villain,Human,1,Urban,United States,2007-05-05,
Agent 2,Disguised,Agent,Human,1,Urban,United States,2007-05-05,
Abominable Snowman,Animal,Yeti,Ice-Monster,1,Mountain,Tibet,2007-08-31,0
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Urban,United States,2007-09-22,
Dr. Trebla,Super-Villain,Doctor,Human,1,Urban,United States,2007-09-22,
Agent 1,Disguised,Agent,Human,1,Urban,United States,2007-09-22,
Agent 2,Disguised,Agent,Human,1,Urban,United States,2007-09-22,
Agent 5,Disguised,Agent,Human,1,Urban,United States,2007-09-22,
Agent 6,Disguised,Agent,Human,1,Urban,United States,2007-09-22,
Agent 7,Disguised,Agent,Human,1,Urban,United States,2007-09-22,
Agent 9,Disguised,Agent,Human,1,Urban,United States,2007-09-22,
Mark,Super-Villain,Nerd,Human,1,Urban,United States,2007-09-22,
Ricky,Super-Villain,Nerd,Human,1,Urban,United States,2007-09-22,
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Urban,United States,2007-09-29,
Agent 1,Disguised,Agent,Human,1,Urban,United States,2007-09-29,
Agent 2,Disguised,Agent,Human,1,Urban,United States,2007-09-29,
Agent 4,Disguised,Agent,Human,1,Urban,United States,2007-09-29,
Mark,Super-Villain,Nerd,Human,1,Urban,United States,2007-09-29,
Ricky,Super-Villain,Nerd,Human,1,Urban,United States,2007-09-29,
Dr. Trebla,Super-Villain,Doctor,Human,1,Urban,United States,2007-09-29,
Menace,Super-Villain,Wrestler,Human,1,Urban,United States,2007-09-29,
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Urban,United States,2007-10-06,
Agent 1,Disguised,Agent,Human,1,Urban,United States,2007-10-06,
Agent 2,Disguised,Agent,Human,1,Urban,United States,2007-10-06,
Agent 3,Disguised,Agent,Human,1,Urban,United States,2007-10-06,
Agent 4,Disguised,Agent,Human,1,Urban,United States,2007-10-06,
Agent 5,Disguised,Agent,Human,1,Urban,United States,2007-10-06,
Agent 6,Disguised,Agent,Human,1,Urban,United States,2007-10-06,
Agent 8,Disguised,Agent,Human,1,Urban,United States,2007-10-06,
Agent 9,Disguised,Agent,Human,1,Urban,United States,2007-10-06,
Dr Trebla,Super-Villain,Doctor,Human,1,Urban,United States,2007-10-06,
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Island,United States,2007-10-13,
Agent 1,Disguised,Agent,Human,1,Island,United States,2007-10-13,
Agent 2,Disguised,Agent,Human,1,Island,United States,2007-10-13,
Agent 3,Disguised,Agent,Human,1,Island,United States,2007-10-13,
Agent 4,Disguised,Agent,Human,1,Island,United States,2007-10-13,
Agent 5,Disguised,Agent,Human,1,Island,United States,2007-10-13,
Agent 7,Disguised,Agent,Human,1,Island,United States,2007-10-13,
Agent 8,Disguised,Agent,Human,1,Island,United States,2007-10-13,
Agent 9,Disguised,Agent,Human,1,Island,United States,2007-10-13,
Agent 11,Disguised,Agent,Human,1,Island,United States,2007-10-13,
Agent 12,Disguised,Agent,Human,1,Island,United States,2007-10-13,
Agent 13,Disguised,Agent,Human,1,Island,United States,2007-10-13,
Dr Trebla,Super-Villain,Doctor,Human,1,Island,United States,2007-10-13,
Dr. Phineus Phibes,Super-Villain,Doctor,Human,1,Urban,United States,2007-11-03,
Clown Phibes,Super-Villain,Clown,Human,1,Urban,United States,2007-11-03,
